pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
6xg2,../pdb\3c_like_proteinase\SARS-CoV-2\6xg2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\6xg2,..,pdb\3c_like_proteinase\SARS-CoV-2,X-RAY DIFFRACTION,0,1.28,,0.1567,0.1791
6yt8,../pdb\3c_like_proteinase\SARS-CoV-2\6yt8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\6yt8,..,pdb\3c_like_proteinase\SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.2035,0.2327
7brr,../pdb\3c_like_proteinase\SARS-CoV-2\7brr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\7brr,..,pdb\3c_like_proteinase\SARS-CoV-2,X-RAY DIFFRACTION,0,1.4,,0.1838,0.1973
7jox,../pdb\3c_like_proteinase\SARS-CoV-2\7jox,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\7jox,..,pdb\3c_like_proteinase\SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1993,0.2406
7kfj,../pdb\3c_like_proteinase\SARS-CoV-2\7kfj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\7kfj,..,pdb\3c_like_proteinase\SARS-CoV-2,X-RAY DIFFRACTION,0,2.66,,0.22,0.268
1o86,../pdb\human_interaction_partners\ACE2\1o86,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\1o86,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.0,,0.18,0.22
1o8a,../pdb\human_interaction_partners\ACE2\1o8a,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\1o8a,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.0,,0.18,0.22
1r42,../pdb\human_interaction_partners\ACE2\1r42,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\1r42,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,1,2.2,,0.235,0.287
1r4l,../pdb\human_interaction_partners\ACE2\1r4l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\1r4l,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,3.0,,0.253,0.337
1uze,../pdb\human_interaction_partners\ACE2\1uze,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\1uze,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.82,,0.188,0.211
1uzf,../pdb\human_interaction_partners\ACE2\1uzf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\1uzf,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.0,,0.184,0.227
2c6f,../pdb\human_interaction_partners\ACE2\2c6f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2c6f,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,3.0,,0.224,0.273
2c6n,../pdb\human_interaction_partners\ACE2\2c6n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2c6n,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,3.0,,0.294,0.308
2iul,../pdb\human_interaction_partners\ACE2\2iul,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2iul,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.0,,0.18,0.22
2iux,../pdb\human_interaction_partners\ACE2\2iux,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2iux,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.8,,0.2006,0.2369
2oc2,../pdb\human_interaction_partners\ACE2\2oc2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2oc2,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.25,,0.215,0.262
2xy9,../pdb\human_interaction_partners\ACE2\2xy9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2xy9,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.97,,0.19889,0.2318
2xyd,../pdb\human_interaction_partners\ACE2\2xyd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2xyd,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.15,,0.21991,0.25589
2ydm,../pdb\human_interaction_partners\ACE2\2ydm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\2ydm,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.4,,0.21431,0.26261
3bkk,../pdb\human_interaction_partners\ACE2\3bkk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\3bkk,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.1,,0.202,0.251
3bkl,../pdb\human_interaction_partners\ACE2\3bkl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\3bkl,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.18,,0.2,0.24
3kbh,../pdb\human_interaction_partners\ACE2\3kbh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\3kbh,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,3.3,,0.26817,0.29973
3l3n,../pdb\human_interaction_partners\ACE2\3l3n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\3l3n,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.3,,0.226,0.266
3nxq,../pdb\human_interaction_partners\ACE2\3nxq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\3nxq,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.99,,0.19398,0.23719
4aph,../pdb\human_interaction_partners\ACE2\4aph,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4aph,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.99,,0.19406,0.24026
4apj,../pdb\human_interaction_partners\ACE2\4apj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4apj,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.6,,0.21518,0.25611
4bxk,../pdb\human_interaction_partners\ACE2\4bxk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4bxk,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.2,,0.18653,0.21965
4bzr,../pdb\human_interaction_partners\ACE2\4bzr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4bzr,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.85,,0.21423,0.25182
4bzs,../pdb\human_interaction_partners\ACE2\4bzs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4bzs,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.1,,0.23314,0.27681
4c2n,../pdb\human_interaction_partners\ACE2\4c2n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4c2n,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.59,,0.20768,0.2631
4c2o,../pdb\human_interaction_partners\ACE2\4c2o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4c2o,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.18186,0.21348
4c2p,../pdb\human_interaction_partners\ACE2\4c2p,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4c2p,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.99,,0.21124,0.2467
4c2q,../pdb\human_interaction_partners\ACE2\4c2q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4c2q,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.4,,0.18826,0.2451
4c2r,../pdb\human_interaction_partners\ACE2\4c2r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4c2r,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,2.3,,0.20126,0.23783
4ca5,../pdb\human_interaction_partners\ACE2\4ca5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4ca5,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.85,,0.18057,0.21344
4ca6,../pdb\human_interaction_partners\ACE2\4ca6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4ca6,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.91,,0.18675,0.22296
4ufa,../pdb\human_interaction_partners\ACE2\4ufa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4ufa,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.20232,0.22822
